"InsuranProviderID","Insurance Provider"
"838399","Blue Cross"
"839873","Medicare"
"841347","Aetna"
"842821","Medicare"
"844295","Aetna"
"845769","UnitedHealthcare"
"847243","Medicare"
"848717","Cigna"
"850191","Cigna"
"851665","UnitedHealthcare"
"853139","Medicare"
"854613","Medicare"
"856087","Cigna"
"857561","UnitedHealthcare"
"859035","UnitedHealthcare"
"860509","Blue Cross"
"861983","UnitedHealthcare"
"863457","Cigna"
"864931","Blue Cross"
"866405","Cigna"
"867879","Blue Cross"
"869353","Aetna"
"870827","Aetna"
"872301","Aetna"
"873775","Medicare"
"875249","Medicare"
"876723","Blue Cross"
"878197","UnitedHealthcare"
"879671","Cigna"
"881145","Aetna"
"882619","Cigna"
"884093","UnitedHealthcare"
"885567","Medicare"
"887041","Medicare"
"888515","Blue Cross"
"889989","Medicare"
"891463","Aetna"
"892937","Aetna"
"894411","Cigna"
"895885","Medicare"
"897359","Cigna"
"898833","Cigna"
"900307","Cigna"
"901781","UnitedHealthcare"
"903255","Medicare"
"904729","Medicare"
"906203","Cigna"
"907677","Cigna"
"909151","UnitedHealthcare"
"910625","Cigna"
"912099","Medicare"
"913573","Aetna"
"915047","Aetna"
"916521","UnitedHealthcare"
"917995","Cigna"
"919469","UnitedHealthcare"
"920943","Cigna"
"922417","Aetna"
"923891","Aetna"
"925365","Aetna"
"926839","Aetna"
"928313","UnitedHealthcare"
"929787","UnitedHealthcare"
"931261","Cigna"
"932735","Medicare"
"934209","Medicare"
"935683","Medicare"
"937157","Cigna"
"938631","UnitedHealthcare"
"940105","Medicare"
"941579","Blue Cross"
"943053","Aetna"
"944527","Cigna"
"946001","Aetna"
"947475","Aetna"
"948949","UnitedHealthcare"
"950423","Blue Cross"
"951897","Cigna"
"953371","UnitedHealthcare"
"954845","UnitedHealthcare"
"956319","Blue Cross"
"957793","Aetna"
"959267","Blue Cross"
"960741","Cigna"
"962215","Medicare"
"963689","UnitedHealthcare"
"965163","Aetna"
"966637","UnitedHealthcare"
"968111","Cigna"
"969585","Blue Cross"
"971059","Medicare"
"972533","UnitedHealthcare"
"974007","Blue Cross"
"975481","Cigna"
"976955","Aetna"
"978429","Medicare"
"979903","Aetna"
"981377","UnitedHealthcare"
"982851","Blue Cross"
"984325","UnitedHealthcare"
"985799","Cigna"
"987273","Aetna"
"988747","UnitedHealthcare"
"990221","Medicare"
"991695","UnitedHealthcare"
"993169","Medicare"
"994643","Cigna"
"996117","Medicare"
"997591","Cigna"
"999065","UnitedHealthcare"
"1000539","Aetna"
"1002013","Medicare"
"1003487","Medicare"
"1004961","Aetna"
"1006435","Medicare"
"1007909","Aetna"
"1009383","Cigna"
"1010857","UnitedHealthcare"
"1012331","Blue Cross"
"1013805","Medicare"
"1015279","Blue Cross"
"1016753","Medicare"
"1018227","Aetna"
"1019701","UnitedHealthcare"
"1021175","Aetna"
"1022649","UnitedHealthcare"
"1024123","Aetna"
"1025597","Medicare"
"1027071","UnitedHealthcare"
"1028545","Blue Cross"
"1030019","Blue Cross"
"1031493","Cigna"
"1032967","Aetna"
"1034441","Cigna"
"1035915","UnitedHealthcare"
"1037389","Blue Cross"
"1038863","UnitedHealthcare"
"1040337","Cigna"
"1041811","Medicare"
"1043285","Medicare"
"1044759","Medicare"
"1046233","Medicare"
"1047707","UnitedHealthcare"
"1049181","Medicare"
"1050655","Aetna"
"1052129","Medicare"
"1053603","Aetna"
"1055077","UnitedHealthcare"
"1056551","Medicare"
